features_begin_index,features_mid_index,tn,fp,fn,tp,acc
1,1,5,13,1,36,0.745454545455
1,2,4,14,1,36,0.727272727273
1,3,6,12,2,35,0.745454545455
1,4,5,13,1,36,0.745454545455
1,5,3,15,1,36,0.709090909091
1,6,5,13,2,35,0.727272727273
1,7,5,13,3,34,0.709090909091
1,8,7,11,4,33,0.727272727273
1,9,8,10,4,33,0.745454545455
1,10,10,8,6,31,0.745454545455
1,11,8,10,3,34,0.763636363636
2,2,7,11,3,34,0.745454545455
2,3,3,15,0,37,0.727272727273
2,4,6,12,1,36,0.763636363636
2,5,3,15,1,36,0.709090909091
2,6,6,12,2,35,0.745454545455
2,7,8,10,4,33,0.745454545455
2,8,8,10,2,35,0.781818181818
2,9,8,10,2,35,0.781818181818
2,10,11,7,5,32,0.781818181818
2,11,8,10,2,35,0.781818181818
3,3,8,10,3,34,0.763636363636
3,4,5,13,3,34,0.709090909091
3,5,4,14,3,34,0.690909090909
3,6,6,12,0,37,0.781818181818
3,7,11,7,6,31,0.763636363636
3,8,9,9,3,34,0.781818181818
3,9,9,9,3,34,0.781818181818
3,10,11,7,5,32,0.781818181818
3,11,9,9,2,35,0.8
4,4,7,11,4,33,0.727272727273
4,5,1,17,3,34,0.636363636364
4,6,6,12,3,34,0.727272727273
4,7,10,8,6,31,0.745454545455
4,8,8,10,5,32,0.727272727273
4,9,9,9,5,32,0.745454545455
4,10,10,8,5,32,0.763636363636
4,11,8,10,2,35,0.781818181818
5,5,0,18,1,36,0.654545454545
5,6,4,14,3,34,0.690909090909
5,7,9,9,6,31,0.727272727273
5,8,9,9,4,33,0.763636363636
5,9,10,8,4,33,0.781818181818
5,10,10,8,5,32,0.763636363636
5,11,8,10,3,34,0.763636363636
6,6,5,13,2,35,0.727272727273
6,7,10,8,5,32,0.763636363636
6,8,11,7,4,33,0.8
6,9,9,9,4,33,0.763636363636
6,10,9,9,5,32,0.745454545455
6,11,8,10,3,34,0.763636363636
7,7,11,7,7,30,0.745454545455
7,8,8,10,4,33,0.745454545455
7,9,7,11,4,33,0.727272727273
7,10,9,9,4,33,0.763636363636
7,11,9,9,4,33,0.763636363636
8,8,8,10,4,33,0.745454545455
8,9,6,12,4,33,0.709090909091
8,10,6,12,5,32,0.690909090909
8,11,9,9,3,34,0.781818181818
9,9,8,10,6,31,0.709090909091
9,10,10,8,6,31,0.745454545455
9,11,8,10,3,34,0.763636363636
10,10,5,13,4,33,0.690909090909
10,11,6,12,2,35,0.745454545455
11,11,9,9,4,33,0.763636363636
